CSV Dump from EGI accounting portal for the period 8/2014 to 8/2014
Values show are Normalised CPU time (HEPSPEC06) by SITE and LHC VO
(Units are Hours)

COUNTRY,FEDERATION,2014 CPU Pledge (HEPSPEC06),pledge inc. efficiency (HEPSPEC06-Hrs),SITE,alice,atlas,cms,lhcb,Total,delivered as % of pledge
,,,,WallClock,725012.3317,1144221.4104,537591.4284,778536.8798,3185362.0503
Ukraine,UA-Tier2-Federation,,,Kharkov-KIPT-LCG2,0,0,8014731.8533,0,8014731.8533
Ukraine,UA-Tier2-Federation,,,UA-BITP,3635339.8200,0,0,0,3635339.82
Ukraine,UA-Tier2-Federation,,,UA-ISMA,16333869.5200,0,0,0,16333869.52
Ukraine,UA-Tier2-Federation,,,UA-KNU,3488.5417,0,0,0,3488.5417
,,38000,19790400,Total,19972697.8817,0,8014731.8533,0,27987429.735,141.41922212285
,,,,WallClock,234447.2463,,364122.9436,,598570.1899
USA,T2_US_Caltech,,,CIT_CMS_T2,0,0,5822560.0000,0,5822560
,,56000,29164800,Total,0,0,5822560,0,5822560,19.96434057494
,,,,WallClock,,,911053,,911053
USA,T2_US_Florida,,,UFlorida-HPC,0,0,12178712.0000,0,12178712
,,56000,29164800,Total,0,0,12178712,0,12178712,41.758256528418
,,,,WallClock,,,1237099,,1237099
USA,T2_US_MIT,,,MIT_CMS,0,0,15251188.0000,0,15251188
,,56000,29164800,Total,0,0,15251188,0,15251188,52.29313418916
,,,,WallClock,,,1730895,,1730895
USA,T2_US_Nebraska,,,Crane,0,0,0,0,0
USA,T2_US_Nebraska,,,Nebraska,0,0,11655912.0000,0,11655912
USA,T2_US_Nebraska,,,Tusker,0,0,0,0,0
,,56000,29164800,Total,0,0,11655912,0,11655912,39.965684660961
,,,,WallClock,,,1579944,,1579944
USA,T2_US_Purdue,,,Purdue-Carter,0,0,3639128.0000,0,3639128
USA,T2_US_Purdue,,,Purdue-Hadoop,0,0,3324748.0000,0,3324748
USA,T2_US_Purdue,,,Purdue-Hammer,0,0,0,0,0
USA,T2_US_Purdue,,,Purdue-Hansen,0,0,3384316.0000,0,3384316
,,56000,29164800,Total,0,0,10348192,0,10348192,35.481786262892
,,,,WallClock,,,1267486,,1267486
USA,T2_US_UCSD,,,UCSDT2,0,0,9036624.0000,0,9036624
,,56000,29164800,Total,0,0,9036624,0,9036624,30.984693877551
,,,,WallClock,,,1098028,,1098028
USA,T2_US_Wisconsin,,,GLOW,0,0,10806592.0000,0,10806592
,,56000,29164800,Total,0,0,10806592,0,10806592,37.053543998244
,,,,WallClock,,,1464887,,1464887
USA,US-AGLT2,,,AGLT2,0,22260592.0000,0,0,22260592
,,68000,35414400,Total,0,22260592,0,0,22260592,62.857459112677
,,,,WallClock,,2953339,,,2953339
USA,US-LBNL-ALICE,,,NERSC-PDSF,8102132.0000,0,0,0,8102132
,,48000,24998400,Total,8102132,0,0,0,8102132,32.410602278546
,,,,WallClock,563259,,,,563259
USA,US-MWT2,,,MWT2,0,40323428.0000,0,0,40323428
,,100000,52080000,Total,0,40323428,0,0,40323428,77.425937019969
,,,,WallClock,,5645919,,,5645919
USA,US-NET2,,,BU_ATLAS_Tier2,0,12941312.0000,0,0,12941312
USA,US-NET2,,,HU_ATLAS_Tier2,0,7769076.0000,0,0,7769076
,,68000,35414400,Total,0,20710388,0,0,20710388,58.480132375531
,,,,WallClock,,2635036,,,2635036
USA,US-SWT2,,,LUCILLE,0,3499348.0000,0,0,3499348
USA,US-SWT2,,,OU_OCHEP_SWT2,0,3391120.0000,0,0,3391120
USA,US-SWT2,,,OU_OSCER_ATLAS,0,5480012.0000,0,0,5480012
USA,US-SWT2,,,SWT2_CPB,0,7428844.0000,0,0,7428844
USA,US-SWT2,,,UTA_SWT2,0,5346948.0000,0,0,5346948
,,68000,35414400,Total,0,25146272,0,0,25146272,71.005782958345
,,,,WallClock,,2987326,,,2987326
,Grand Total,4406544,2294928115.2,,133522499.8277,505782880.4676,208507198.1943,33344836.5996,881157415.0892,38.395861258269
,Grand WallClock Total,,,,15335868.7422,54542155.4255,28074476.4943,3585709.4448,100114450.1068
